[2026-03-19 13:58:21] instance: Assumptions_a50cadd7 | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.2s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckAlarm_6bea956e | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.2s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckCoffeMachine_f3987563 | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckCoffeMachine_3461125b | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckDoor_c2b9e44d | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckHeating_2418b67e | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckLight_007df645 | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckHeating_3461125b | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckLight_aeb1d897 | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckRoom_06e9cad4 | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckRoom_2c5b09da | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckRoom_3916ec59 | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckRoom_70523fbe | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckShades_1a2942e3 | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckShades_3461125b | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckShades_4d4ca5c4 | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckShades_aeb1d897 | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:21] instance: CheckTime_3916ec59 | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:22] instance: CheckTime_54e1f7d2 | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:22] instance: Alarm_2d1010f8 | approach: ltlsynt-30s | status: realizable | and_gates: 91 | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:22] instance: CheckTime_4b5e6eaa | approach: ltlsynt-30s | status: unrealizable | and_gates: N/A | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:22] instance: AlarmMin_efe2feaf | approach: ltlsynt-30s | status: realizable | and_gates: 1 | time: 0.1s | notes: baseline ltlsynt
[2026-03-19 13:58:22] instance: Button | approach: ltlsynt-30s | status: realizable | and_gates: 0 | time: 0.1s | notes: baseline ltlsynt
